Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter
12,1990,3B,Curt Wilkerson,29,77,196,186,21,41,5,1,0,16,2,2,7,36,0.22,0.249,0.258,0.507,36,48,4,0,3,0,2,Right,Yes
13,1990,LF,Dave Clark,27,84,181,171,22,47,4,2,5,20,7,1,8,40,0.275,0.304,0.409,0.713,89,70,4,0,0,2,1,Left,No
14,1990,LF,Lloyd McClendon,31,49,122,107,5,17,3,0,1,10,1,0,14,21,0.159,0.254,0.215,0.469,27,23,2,0,0,1,2,Right,No
15,1990,UT,Hector Villanueva,25,52,120,114,14,31,4,1,7,18,1,0,4,27,0.272,0.308,0.509,0.817,114,58,3,2,0,0,2,Right,No
16,1990,LF,Derrick May,21,17,63,61,8,15,3,0,1,11,1,0,2,7,0.246,0.27,0.344,0.614,63,21,1,0,0,0,0,Left,No
17,1990,C,Damon Berryhill,26,17,59,53,6,10,4,0,1,9,0,0,5,14,0.189,0.254,0.321,0.575,53,17,3,0,0,1,1,Right,Yes
18,1990,OF,Gary Varsho,29,46,49,48,10,12,4,0,0,1,2,0,1,6,0.25,0.265,0.333,0.599,59,16,1,0,0,0,1,Left,No
19,1990,MI,Greg Smith,23,18,48,44,4,9,2,1,0,5,1,0,2,5,0.205,0.234,0.295,0.529,41,13,1,0,1,1,0,Right,Yes
20,1990,C,Rick Wrona,26,16,32,29,3,5,0,0,0,0,1,0,2,11,0.172,0.226,0.172,0.398,8,5,0,0,1,0,1,Right,No
21,1990,P,Greg Maddux,24,35,89,83,1,12,0,0,0,3,0,0,2,25,0.145,0.165,0.145,0.309,-16,12,0,0,4,0,0,Right,No
22,1990,P,Mike Harkey,23,27,66,56,4,14,4,0,0,4,0,0,1,16,0.25,0.276,0.321,0.597,59,18,0,1,8,0,0,Right,No
23,1990,P,Mike Bielecki,30,36,55,43,3,7,0,0,0,1,0,0,2,20,0.163,0.2,0.163,0.363,-2,7,0,0,10,0,0,Right,No
24,1990,P,Steve Wilson,25,45,45,37,3,6,1,0,0,3,0,0,3,11,0.162,0.225,0.189,0.414,12,7,0,0,5,0,0,Left,No
25,1990,P,Shawn Boskie,23,15,38,36,1,8,3,0,0,3,0,0,0,8,0.222,0.222,0.306,0.528,40,11,0,0,2,0,0,Right,No
26,1990,P,Jeff Pico,24,31,26,22,2,6,1,0,0,1,0,0,3,5,0.273,0.36,0.318,0.678,83,7,0,0,1,0,0,Right,No
27,1990,P,Les Lancaster,28,55,24,20,1,1,0,0,0,0,0,0,3,11,0.05,0.174,0.05,0.224,-37,1,0,0,1,0,0,Right,No
28,1990,P,Jose Nunez,26,21,15,11,1,0,0,0,0,1,0,0,1,5,0.0,0.083,0.0,0.083,-76,0,0,0,3,0,0,Right,No
29,1990,P,Paul Assenmacher,29,74,10,8,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,2,0,0,Left,No
30,1990,P,Rick Sutcliffe,34,5,8,5,0,0,0,0,0,0,0,0,2,2,0.0,0.286,0.0,0.286,-16,0,0,0,1,0,0,Left,No
31,1990,P,Bill Long,30,42,6,5,0,0,0,0,0,0,0,0,1,4,0.0,0.167,0.0,0.167,-51,0,0,0,0,0,0,Right,No
32,1990,P,Mitch Williams,25,59,5,5,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
33,1990,P,Kevin Coffman,25,8,5,5,0,1,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.4,7,1,0,0,0,0,0,Right,No
34,1990,P,Kevin Blankenship,27,3,4,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
35,1990,P,Lance Dickson,20,3,3,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
36,1990,P,Dave Pavlas,27,13,2,1,0,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5,47,0,0,0,0,0,0,Right,No
37,1990,P,Randy Kramer,29,10,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,1,0,0,Right,No
38,1990,P,Joe Kraemer,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
39,1990,P,Dean Wilkins,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,1989,C,Damon Berryhill,25,91,361,334,37,86,13,0,5,41,1,0,16,54,0.257,0.291,0.341,0.633,75,114,13,2,4,5,4,Right,Yes
2,1989,1B,Mark Grace,25,142,596,510,74,160,28,3,13,79,14,7,80,42,0.314,0.405,0.457,0.862,139,233,13,0,3,3,13,Left,No
3,1989,2B,Ryne Sandberg,29,157,672,606,104,176,25,5,30,76,15,5,59,85,0.29,0.356,0.497,0.853,134,301,9,4,1,2,8,Right,No
4,1989,SS,Shawon Dunston,26,138,512,471,52,131,20,6,9,60,19,11,30,86,0.278,0.32,0.403,0.724,100,190,7,1,6,4,15,Right,No
5,1989,3B,Vance Law,32,130,454,408,38,96,22,3,7,42,2,2,38,73,0.235,0.296,0.355,0.651,80,145,11,0,1,7,0,Right,No
6,1989,LF,Dwight Smith,25,109,381,343,52,111,19,6,9,52,9,4,31,51,0.324,0.382,0.493,0.875,141,169,4,2,4,1,0,Left,No
7,1989,CF,Jerome Walton,23,116,515,475,64,139,23,3,5,46,24,7,27,77,0.293,0.335,0.385,0.721,100,183,6,6,2,5,1,Right,No
8,1989,RF,Andre Dawson,34,118,459,416,62,105,18,6,21,77,8,5,35,62,0.252,0.307,0.476,0.783,114,198,16,1,0,7,13,Right,No
9,1989,LF,Mitch Webster,30,98,308,272,40,70,12,4,3,19,14,2,30,55,0.257,0.331,0.364,0.695,93,99,3,1,3,2,5,Right,Yes
10,1989,UT,Lloyd McClendon,30,92,305,259,47,74,12,1,12,40,6,4,37,31,0.286,0.368,0.479,0.847,134,124,3,1,1,7,3,Right,No
11,1989,IF,Domingo Ramos,31,85,204,179,18,47,6,2,1,19,1,1,17,23,0.263,0.333,0.335,0.669,86,60,10,2,6,0,4,Right,No
12,1989,C,Joe Girardi,24,59,172,157,15,39,10,0,1,14,2,1,11,26,0.248,0.304,0.331,0.635,76,52,4,2,1,1,5,Right,No
13,1989,IF,Curt Wilkerson,28,77,170,160,18,39,4,2,1,10,4,2,8,33,0.244,0.278,0.313,0.591,64,50,3,0,1,1,0,Right,Yes
14,1989,CF,Doug Dascenzo,25,47,157,139,20,23,1,0,1,12,6,3,13,13,0.165,0.234,0.194,0.428,20,27,2,0,3,2,0,Right,Yes
15,1989,C,Rick Wrona,25,38,97,92,11,26,2,1,2,14,0,0,2,21,0.283,0.299,0.391,0.69,90,36,1,1,0,2,1,Right,No
16,1989,OF,Gary Varsho,28,61,91,87,10,16,4,2,0,6,3,0,4,13,0.184,0.22,0.276,0.496,37,24,0,0,0,0,1,Left,No
17,1989,RF,Darrin Jackson,25,45,89,83,7,19,4,0,1,8,1,2,6,17,0.229,0.281,0.313,0.594,65,26,1,0,0,0,1,Right,No
18,1989,3B,Luis Salazar,33,26,84,80,7,26,5,0,1,12,0,1,4,13,0.325,0.357,0.425,0.782,116,34,2,0,0,0,0,Right,No
19,1989,OF,Marvell Wynne,29,20,51,48,8,9,2,1,1,4,2,0,1,7,0.188,0.22,0.333,0.553,52,16,0,1,1,0,1,Left,No
20,1989,LF,Phil Stephenson,28,17,23,21,0,3,0,0,0,0,1,0,2,3,0.143,0.217,0.143,0.36,2,3,0,0,0,0,0,Left,No
21,1989,2B,Greg Smith,22,4,6,5,1,2,0,0,0,2,0,0,0,0,0.4,0.5,0.4,0.9,153,2,0,1,0,0,0,Right,Yes
22,1989,P,Greg Maddux,23,35,91,81,6,17,2,0,0,4,1,0,1,22,0.21,0.229,0.235,0.463,29,19,0,1,8,0,0,Right,No
23,1989,P,Rick Sutcliffe,33,37,90,70,5,10,2,0,0,5,2,0,10,19,0.143,0.25,0.171,0.421,19,12,4,0,10,0,0,Left,No
24,1989,P,Mike Bielecki,29,33,82,70,1,3,0,0,0,3,1,0,3,35,0.043,0.082,0.043,0.125,-64,3,0,0,9,0,0,Right,No
25,1989,P,Scott Sanderson,32,37,54,43,1,2,0,0,0,1,0,0,5,22,0.047,0.146,0.047,0.192,-44,2,0,0,6,0,0,Right,No
26,1989,P,Paul Kilgus,27,35,46,41,1,3,0,0,0,2,0,0,1,11,0.073,0.095,0.073,0.168,-53,3,0,0,4,0,0,Left,No
27,1989,P,Steve Wilson,24,53,18,16,1,1,0,0,0,0,0,0,1,3,0.063,0.118,0.063,0.18,-49,1,0,0,1,0,0,Left,No
28,1989,P,Jeff Pico,23,53,13,10,0,1,0,0,0,0,0,0,0,4,0.1,0.1,0.1,0.2,-44,1,0,0,3,0,0,Right,No
29,1989,P,Les Lancaster,27,42,11,11,0,2,1,0,0,1,0,0,0,7,0.182,0.182,0.273,0.455,25,3,0,0,0,0,0,Right,No
30,1989,P,Calvin Schiraldi,27,54,11,9,0,0,0,0,0,1,0,0,0,7,0.0,0.0,0.0,0.0,-100,0,0,0,1,1,0,Right,No
31,1989,P,Pat Perry,30,19,6,6,1,1,0,0,0,0,0,0,0,1,0.167,0.167,0.167,0.333,-7,1,1,0,0,0,0,Left,No
32,1989,P,Mitch Williams,24,76,5,5,1,1,0,0,1,3,0,0,0,1,0.2,0.2,0.8,1.0,165,4,1,0,0,0,0,Left,No
33,1989,P,Paul Assenmacher,28,14,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
34,1989,P,Dean Wilkins,22,11,2,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,1,0,0,Right,No
35,1989,P,Joe Kraemer,24,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
36,1989,P,Kevin Blankenship,26,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
1,1988,C,Damon Berryhill,24,95,332,309,19,80,19,1,7,38,1,0,17,56,0.259,0.295,0.395,0.69,93,122,11,0,3,3,5,Right,Yes
2,1988,1B,Mark Grace,24,134,550,486,65,144,23,4,7,57,3,3,60,43,0.296,0.371,0.403,0.774,119,196,12,0,0,4,5,Left,No
3,1988,2B,Ryne Sandberg,28,155,679,618,77,163,23,8,19,69,25,10,54,91,0.264,0.322,0.419,0.741,108,259,14,1,1,5,3,Right,No
4,1988,SS,Shawon Dunston,25,155,599,575,69,143,23,6,9,56,30,9,16,108,0.249,0.271,0.357,0.627,76,205,6,2,4,2,8,Right,No
5,1988,3B,Vance Law,31,151,621,556,73,163,29,2,11,78,1,4,55,79,0.293,0.358,0.412,0.77,117,229,15,3,4,3,4,Right,No
6,1988,LF,Rafael Palmeiro,23,152,629,580,75,178,41,5,8,53,12,2,38,34,0.307,0.349,0.436,0.785,121,253,11,3,2,6,6,Left,No
7,1988,CF,Dave Martinez,23,75,283,256,27,65,10,1,4,34,7,3,21,46,0.254,0.311,0.348,0.659,86,89,2,2,0,4,5,Left,No
8,1988,RF,Andre Dawson,33,157,640,591,78,179,31,8,24,79,12,4,37,73,0.303,0.344,0.504,0.849,137,298,13,4,1,7,12,Right,No
9,1988,CF,Mitch Webster,29,70,290,264,36,70,11,6,4,26,10,4,19,50,0.265,0.319,0.398,0.717,101,105,2,3,1,2,0,Right,Yes
10,1988,C,Jody Davis,31,88,284,249,19,57,9,0,6,33,0,3,29,51,0.229,0.309,0.337,0.646,82,84,7,1,2,3,3,Right,No
11,1988,CF,Darrin Jackson,24,100,197,188,29,50,11,3,6,20,4,1,5,28,0.266,0.287,0.452,0.739,106,85,3,1,2,1,1,Right,No
12,1988,IF,Manny Trillo,37,76,177,164,15,41,5,0,1,14,2,0,8,32,0.25,0.283,0.299,0.582,65,49,2,0,4,1,0,Right,No
13,1988,CF,Doug Dascenzo,24,26,85,75,9,16,3,0,0,4,6,1,9,4,0.213,0.298,0.253,0.551,57,19,2,0,1,0,1,Right,Yes
14,1988,1B,Leon Durham,30,24,82,73,10,16,6,1,3,6,0,1,9,20,0.219,0.305,0.452,0.757,111,33,0,0,0,0,2,Left,No
15,1988,OF,Gary Varsho,27,46,75,73,6,20,3,0,0,5,5,0,1,6,0.274,0.28,0.315,0.595,68,23,0,0,0,1,0,Left,No
16,1988,LF,Jerry Mumphrey,35,63,73,66,3,9,2,0,0,9,0,0,7,16,0.136,0.219,0.167,0.386,11,11,3,0,0,0,2,Right,Yes
17,1988,C,Jim Sundberg,37,24,66,54,8,13,1,0,2,9,0,0,8,15,0.241,0.333,0.37,0.704,99,20,1,0,3,1,0,Right,No
18,1988,SS,Angel Salazar,26,34,63,60,4,15,1,1,0,1,0,0,1,11,0.25,0.262,0.3,0.562,58,18,1,0,2,0,1,Right,No
19,1988,OF,Rolando Roomes,26,17,16,16,3,3,0,0,0,0,0,1,0,4,0.188,0.188,0.188,0.375,6,3,0,0,0,0,0,Right,No
20,1988,C,Rick Wrona,24,4,6,6,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
21,1988,3B,Dave Meier,28,2,5,5,0,2,0,0,0,1,0,0,0,1,0.4,0.4,0.4,0.8,127,2,0,0,0,0,0,Right,No
22,1988,P,Greg Maddux,22,37,97,96,13,19,3,0,0,5,1,0,0,22,0.198,0.198,0.229,0.427,20,22,1,0,1,0,0,Right,No
23,1988,P,Rick Sutcliffe,32,33,85,75,8,12,5,0,1,6,1,0,3,18,0.16,0.198,0.267,0.464,30,20,0,1,4,2,0,Left,No
24,1988,P,Jamie Moyer,25,34,71,60,4,5,1,0,0,1,0,0,3,25,0.083,0.127,0.1,0.227,-35,6,2,0,8,0,0,Left,No
25,1988,P,Calvin Schiraldi,26,29,66,60,4,6,1,0,0,5,0,0,1,26,0.1,0.113,0.117,0.23,-35,7,0,0,4,1,0,Right,No
26,1988,P,Jeff Pico,22,29,37,34,0,5,0,0,0,1,0,0,1,10,0.147,0.171,0.147,0.318,-9,5,0,0,2,0,0,Right,No
27,1988,P,Al Nipper,29,22,25,23,0,2,1,0,0,0,0,0,0,6,0.087,0.087,0.13,0.217,-39,3,1,0,2,0,0,Right,No
28,1988,P,Les Lancaster,26,44,23,20,1,1,0,0,0,0,0,0,0,12,0.05,0.05,0.05,0.1,-72,1,0,0,3,0,0,Right,No
29,1988,P,Mike Harkey,21,5,13,11,1,1,0,0,0,0,0,0,0,5,0.091,0.091,0.091,0.182,-48,1,0,0,2,0,0,Right,No
30,1988,P,Frank DiPino,31,63,11,10,2,1,0,0,0,0,0,0,0,4,0.1,0.1,0.1,0.2,-43,1,0,0,1,0,0,Left,No
31,1988,P,Mike Bielecki,28,19,10,10,0,1,0,0,0,0,0,0,0,7,0.1,0.1,0.1,0.2,-43,1,0,0,0,0,0,Right,No
32,1988,P,Kevin Blankenship,25,1,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
33,1988,P,Mike Capel,26,22,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
34,1988,P,Bob Tewksbury,27,1,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
35,1988,P,Bill Landrum,30,7,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
36,1988,P,Drew Hall,25,19,2,1,1,0,0,0,0,0,0,0,1,1,0.0,0.5,0.0,0.5,53,0,0,0,0,0,0,Left,No
37,1988,P,Rich Gossage,36,46,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
38,1988,P,Pat Perry,29,35,1,1,1,1,0,0,1,2,0,0,0,0,1.0,1.0,4.0,5.0,1248,4,0,0,0,0,0,Left,No
39,1988,P,Scott Sanderson,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,1987,C,Jody Davis,30,125,485,428,57,106,12,2,19,51,1,2,52,91,0.248,0.331,0.418,0.749,95,179,14,2,1,2,2,Right,No
2,1987,1B,Leon Durham,29,131,492,439,70,120,22,1,27,63,2,2,51,92,0.273,0.348,0.513,0.86,122,225,6,0,0,2,9,Left,No
3,1987,2B,Ryne Sandberg,27,132,587,523,81,154,25,2,16,59,21,2,59,79,0.294,0.367,0.442,0.809,111,231,11,2,1,2,4,Right,No
4,1987,SS,Shawon Dunston,24,95,359,346,40,85,18,3,5,22,12,3,10,68,0.246,0.267,0.358,0.626,62,124,6,1,0,2,1,Right,No
5,1987,3B,Keith Moreland,33,153,614,563,63,150,29,1,27,88,3,3,39,66,0.266,0.309,0.465,0.775,100,262,15,0,3,9,4,Right,No
6,1987,LF,Jerry Mumphrey,34,118,346,309,41,103,19,2,13,44,1,1,35,47,0.333,0.4,0.534,0.934,142,165,5,0,1,1,6,Right,Yes
7,1987,CF,Dave Martinez,22,142,520,459,70,134,18,8,8,36,16,8,57,96,0.292,0.372,0.418,0.79,107,192,4,2,1,1,4,Left,No
8,1987,RF,Andre Dawson,32,153,662,621,90,178,24,2,49,137,11,3,32,103,0.287,0.328,0.568,0.896,130,353,15,7,0,2,7,Right,No
9,1987,LF,Rafael Palmeiro,22,84,244,221,32,61,15,1,14,30,2,2,20,26,0.276,0.336,0.543,0.879,126,120,4,1,0,2,1,Left,No
10,1987,1B,Manny Trillo,36,108,244,214,27,63,8,0,8,26,0,3,25,37,0.294,0.367,0.444,0.811,112,95,6,0,4,1,0,Right,No
11,1987,CF,Bob Dernier,30,93,220,199,38,63,4,4,8,21,16,7,19,19,0.317,0.379,0.497,0.876,128,99,4,1,1,0,0,Right,No
12,1987,LF,Brian Dayett,30,97,198,177,20,49,14,1,5,25,0,0,20,37,0.277,0.348,0.452,0.8,108,80,3,0,0,1,0,Right,No
13,1987,MI,Paul Noce,27,70,192,180,17,41,9,2,3,14,5,3,6,49,0.228,0.261,0.35,0.611,58,63,2,2,4,0,1,Right,No
14,1987,C,Jim Sundberg,36,61,161,139,9,28,2,0,4,15,0,0,19,40,0.201,0.306,0.302,0.608,61,42,3,2,1,0,3,Right,No
15,1987,LF,Chico Walker,29,47,121,105,15,21,4,0,0,7,11,4,12,23,0.2,0.277,0.238,0.515,37,25,1,0,2,2,1,Right,Yes
16,1987,SS,Mike Brumley,24,39,117,104,8,21,2,2,1,9,7,1,10,30,0.202,0.276,0.288,0.564,48,30,2,1,1,1,1,Right,Yes
17,1987,SS,Luis Quinones,25,49,111,101,12,22,6,0,0,8,0,0,10,16,0.218,0.288,0.277,0.566,49,28,0,0,0,0,0,Right,Yes
18,1987,LF,Gary Matthews,36,44,46,42,3,11,3,0,0,8,0,0,4,11,0.262,0.326,0.333,0.659,74,14,1,0,0,0,1,Right,No
19,1987,3B,Wade Rowdon,26,11,34,31,2,7,1,1,1,4,0,2,3,10,0.226,0.294,0.419,0.713,85,13,1,0,0,0,0,Right,No
20,1987,C,Damon Berryhill,23,12,31,28,2,5,1,0,0,1,0,1,3,5,0.179,0.258,0.214,0.472,26,6,1,0,0,0,0,Right,Yes
21,1987,OF,Darrin Jackson,23,7,5,5,2,4,1,0,0,0,0,0,0,0,0.8,0.8,1.0,1.8,369,5,0,0,0,0,0,Right,No
22,1987,P,Rick Sutcliffe,31,35,100,81,8,12,5,1,0,6,1,0,7,19,0.148,0.213,0.235,0.448,18,19,2,0,11,1,0,Left,No
23,1987,P,Jamie Moyer,24,39,75,61,3,14,1,0,0,3,0,0,6,17,0.23,0.294,0.246,0.54,44,15,0,0,7,1,0,Left,No
24,1987,P,Les Lancaster,25,27,51,49,2,4,1,0,0,2,0,0,1,19,0.082,0.1,0.102,0.202,-47,5,0,0,1,0,0,Right,No
25,1987,P,Greg Maddux,21,34,49,42,3,5,0,0,0,2,0,1,0,9,0.119,0.119,0.119,0.238,-37,5,0,0,7,0,0,Right,No
26,1987,P,Scott Sanderson,30,32,47,40,2,3,0,0,1,2,0,0,3,20,0.075,0.14,0.15,0.29,-24,6,1,0,4,0,0,Right,No
27,1987,P,Steve Trout,29,11,29,26,1,4,0,0,0,0,0,0,0,9,0.154,0.154,0.154,0.308,-19,4,1,0,3,0,0,Left,No
28,1987,P,Ed Lynch,31,58,18,16,1,3,0,0,0,0,0,0,0,9,0.188,0.188,0.188,0.375,-1,3,0,0,2,0,0,Right,No
29,1987,P,Mike Mason,28,18,13,9,1,2,0,0,0,0,0,0,1,4,0.222,0.3,0.222,0.522,40,2,0,0,3,0,0,Left,No
30,1987,P,Dickie Noles,30,41,11,11,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100,0,1,0,0,0,0,Right,No
31,1987,P,Bob Tewksbury,26,7,5,5,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
32,1987,P,Drew Hall,24,21,4,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
33,1987,P,Frank DiPino,30,69,3,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,164,1,0,0,1,0,0,Left,No
34,1987,P,Lee Smith,29,63,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
35,1987,P,Jay Baller,26,23,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,427,1,0,0,0,0,0,Right,No
36,1987,P,Ron Davis,31,21,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,1986,C,Jody Davis,29,148,581,528,61,132,27,2,21,74,0,1,41,110,0.25,0.3,0.428,0.728,93,226,14,0,4,8,4,Right,No
2,1986,1B,Leon Durham,28,141,557,484,66,127,18,7,20,65,8,7,67,98,0.262,0.35,0.452,0.803,114,219,6,1,0,5,16,Left,No
3,1986,2B,Ryne Sandberg,26,154,682,627,68,178,28,5,14,76,34,11,46,79,0.284,0.33,0.411,0.741,98,258,11,0,3,6,6,Right,No
4,1986,SS,Shawon Dunston,23,150,611,581,66,145,37,3,17,68,13,11,21,114,0.25,0.278,0.411,0.69,83,239,5,3,4,2,5,Right,No
5,1986,3B,Ron Cey,38,97,306,256,42,70,21,0,13,36,0,0,44,66,0.273,0.384,0.508,0.891,138,130,5,3,1,2,1,Right,No
6,1986,LF,Gary Matthews,35,123,432,370,49,96,16,1,21,46,3,2,60,59,0.259,0.361,0.478,0.839,124,177,15,0,0,2,1,Right,No
7,1986,CF,Bob Dernier,29,108,351,324,32,73,14,1,4,18,27,2,22,41,0.225,0.275,0.312,0.586,57,101,7,0,5,0,1,Right,No
8,1986,RF,Keith Moreland,32,156,652,586,72,159,30,0,12,79,3,6,53,48,0.271,0.326,0.384,0.71,90,225,15,0,2,11,10,Right,No
9,1986,OF,Jerry Mumphrey,33,111,339,309,37,94,11,2,5,32,2,3,26,45,0.304,0.355,0.401,0.756,103,124,3,0,1,3,4,Right,Yes
10,1986,3B,Davey Lopes,41,59,191,157,38,47,8,2,6,22,17,6,31,16,0.299,0.419,0.49,0.909,144,77,6,2,0,1,0,Right,No
11,1986,IF,Chris Speier,36,95,176,155,21,44,8,0,6,23,2,2,15,32,0.284,0.349,0.452,0.8,114,70,4,1,4,1,3,Right,No
12,1986,3B,Manny Trillo,35,81,172,152,22,45,10,0,1,19,0,2,16,21,0.296,0.359,0.382,0.74,99,58,2,0,2,2,0,Right,No
13,1986,LF,Thad Bosley,29,87,139,120,15,33,4,1,1,9,3,0,18,24,0.275,0.37,0.35,0.72,95,42,3,0,1,0,3,Left,No
14,1986,UT,Terry Francona,27,86,133,124,13,31,3,0,2,8,0,1,6,8,0.25,0.286,0.323,0.608,63,40,3,1,0,2,0,Left,No
15,1986,CF,Dave Martinez,21,53,116,108,13,15,1,1,1,7,4,2,6,22,0.139,0.19,0.194,0.384,4,21,1,1,0,1,0,Left,No
16,1986,OF,Chico Walker,28,28,112,101,21,28,3,2,1,7,15,4,10,20,0.277,0.339,0.376,0.716,92,38,3,0,0,1,0,Right,Yes
17,1986,LF,Rafael Palmeiro,21,22,78,73,9,18,4,0,3,12,1,1,4,6,0.247,0.295,0.425,0.72,91,31,4,1,0,0,0,Left,No
18,1986,OF,Brian Dayett,29,24,76,67,7,18,4,0,4,11,0,1,6,10,0.269,0.316,0.507,0.823,118,34,2,0,0,3,0,Right,No
19,1986,C,Steve Lake,29,10,21,19,4,8,1,0,0,4,0,0,1,2,0.421,0.45,0.474,0.924,149,9,1,0,1,0,1,Right,No
20,1986,C,Mike Martin,27,8,15,13,1,1,1,0,0,0,0,0,2,4,0.077,0.2,0.154,0.354,-3,2,0,0,0,0,1,Left,No
21,1986,UT,Steve Christmas,28,3,9,9,0,1,1,0,0,2,0,0,0,1,0.111,0.111,0.222,0.333,-13,2,0,0,0,0,0,Left,No
22,1986,P,Dennis Eckersley,31,33,73,69,7,11,3,0,2,10,0,0,1,34,0.159,0.169,0.29,0.459,21,20,0,0,2,1,0,Right,No
23,1986,P,Rick Sutcliffe,30,29,60,53,3,11,2,0,1,4,0,0,2,13,0.208,0.25,0.302,0.552,48,16,1,1,4,0,0,Left,No
24,1986,P,Scott Sanderson,29,38,58,51,1,3,1,0,0,2,0,0,0,23,0.059,0.077,0.078,0.155,-58,4,0,1,6,0,0,Right,No
25,1986,P,Steve Trout,28,37,48,43,5,9,1,0,0,3,0,0,1,15,0.209,0.227,0.233,0.46,24,10,1,0,4,0,0,Left,No
26,1986,P,Ed Lynch,30,23,33,30,0,1,0,0,0,0,0,0,2,17,0.033,0.094,0.033,0.127,-64,1,0,0,1,0,0,Right,No
27,1986,P,Jamie Moyer,23,16,30,22,3,2,0,0,0,0,0,0,4,5,0.091,0.231,0.091,0.322,-10,2,1,0,4,0,0,Left,No
28,1986,P,Guy Hoffman,29,33,20,15,2,1,0,0,0,1,0,0,2,4,0.067,0.176,0.067,0.243,-32,1,0,0,3,0,0,Left,No
29,1986,P,Greg Maddux,20,6,13,12,0,4,0,0,0,0,0,0,0,3,0.333,0.333,0.333,0.667,80,4,0,0,1,0,0,Right,No
30,1986,P,Drew Hall,23,5,8,7,1,1,0,0,0,0,0,0,1,3,0.143,0.25,0.143,0.393,9,1,0,0,0,0,0,Left,No
31,1986,P,Ray Fontenot,28,42,6,6,1,1,0,0,0,0,0,0,0,5,0.167,0.167,0.167,0.333,-10,1,0,0,0,0,0,Left,No
32,1986,P,Jay Baller,25,36,6,5,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,1,0,0,Right,No
33,1986,P,Matt Keough,30,19,5,5,0,2,1,0,0,0,0,0,0,2,0.4,0.4,0.6,1.0,165,3,0,0,0,0,0,Right,No
34,1986,P,Lee Smith,28,66,5,5,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
